"","year","area_ha","fires"
"1",1999,9989.58704557115,21
"2",2000,1112.60665390835,8
"3",2001,21.417758502456,1
"4",2002,7646.37555310013,12
"5",2003,358.447837725634,4
"6",2004,1686.19145918511,7
"7",2005,1277.27852632936,9
"8",2006,5933.93930779589,7
"9",2007,35.6009569775701,3
"10",2008,7403.35671114688,17
"11",2009,2787.82548480244,13
"12",2010,314.351324194752,3
"13",2011,1064.18404560315,5
"14",2012,4168.13557038448,10
"15",2013,139.708808915651,5
"16",2014,5263.92890742559,19
"17",2015,44578.0294016613,20
"18",2016,10088.1928729027,28
"19",2017,101.297152439628,2
"20",2018,451.448197759905,3
"21",2019,137.265325107237,7
"22",2020,653.194423572644,7
"23",2021,17143.8002423458,22
"24",2022,7235.80836732379,5
