month,variable,value
1,prec,30.7214809986809
1,tavg,12.7104226500665
2,prec,37.1099823711923
2,tavg,12.3578204837371
3,prec,56.3580237898925
3,tavg,10.2868822595319
4,prec,80.0372725658545
4,tavg,6.93333000144787
5,prec,126.137786344902
5,tavg,4.12700923876084
6,prec,141.914026118697
6,tavg,1.73746360669655
7,prec,161.225509122242
7,tavg,1.30479276837162
8,prec,127.027883755557
8,tavg,2.20172457174281
9,prec,78.5091378299044
9,tavg,3.9551666598081
10,prec,53.1657179007883
10,tavg,6.58900907621683
11,prec,44.8281927726589
11,tavg,9.2389456232837
12,prec,45.5946372614011
12,tavg,11.5168995031862
