system:index,Burned,Fire_ID,LANDSAT_ID,Year,dnbr,nbr_delta,nbr_min,ndvi_max,.geo
0_000000000000000001ae_0,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.07421428,0.08870667,0.5786954,0.7883781,
0_000000000000000001ae_1,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.028384328,0.02229321,0.605293,0.83926606,
0_000000000000000001ae_2,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.011843801,0.08252478,0.5774548,0.83533835,
0_000000000000000001ae_3,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.10009995,0.07533789,0.45319694,0.7291173,
0_000000000000000001ae_4,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.08949059,0.20229903,0.35918245,0.7222222,
0_000000000000000001ae_5,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.15680704,0.15662664,0.32989985,0.6407186,
0_000000000000000001ae_6,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.09499207,0.10645011,0.4207752,0.700565,
0_000000000000000001ae_7,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.053585425,0.044277713,0.20009528,0.46844396,
0_000000000000000001ae_8,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.16015004,0.14383075,0.2514777,0.5037453,
0_000000000000000001ae_9,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.11193395,0.10908581,0.17501406,0.47368422,
0_000000000000000001ae_10,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.12701803,0.15112095,0.23997413,0.5563783,
0_000000000000000001ae_11,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.08772451,0.14370003,0.4452819,0.7843427,
0_000000000000000001ae_12,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.0600081,0.0678563,0.019617459,0.5114796,
0_000000000000000001ae_13,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.038205355,0.0896582,0.20011148,0.58707124,
0_000000000000000001ae_14,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.05587874,0.07670237,0.023630226,0.41080314,
0_000000000000000001ae_15,0,Ventana_1999,LT05_L1TP_232088_19990210_20161219_01_T1_,1999,0.0053413063,0.0018256903,0.14934696,0.46021506,
