class,aspect,elevation,slope
burned,354.8409,1184,13.701651
burned,38.725258,899,38.255024
burned,165.03854,892,9.512003
burned,275.90326,1237,47.771664
burned,18.653654,794,28.666693
burned,34.877007,1203,33.07041
burned,73.19966,809,48.242645
burned,46.869785,707,24.222254
burned,126.02838,1220,25.073288
burned,218.10974,795,21.35026
burned,207.78386,877,18.229292
burned,28.929981,1366,44.964893
burned,279.10815,726,27.080883
burned,118.973,1300,31.028198
burned,79.40042,542,5.0292864
burned,351.44254,807,8.381102
burned,98.32033,548,6.3828917
burned,276.0218,1299,31.683954
burned,0,1280,28.110973
burned,180,844,13.648223
burned,80.682236,936,11.307749
burned,62.825882,610,17.693125
burned,85.419235,761,39.033882
burned,204.49605,601,9.095898
burned,74.41712,682,10.247258
burned,329.53564,690,16.72491
burned,243.71318,562,33.342632
burned,198.60785,718,18.860853
burned,19.34401,1065,24.854519
burned,304.30856,732,17.532116
burned,146.04193,912,4.463765
burned,48.060364,588,8.268544
burned,259.25607,1060,31.293125
burned,326.8654,1249,4.4215975
burned,331.98105,1524,27.177612
burned,53.4295,779,28.519026
burned,50.62895,1591,24.67137
burned,358.4556,1066,38.99649
burned,114.298065,1281,25.271065
burned,11.6135,899,12.125076
burned,16.169184,1190,16.876776
burned,312.10928,420,27.973003
burned,119.13907,1102,5.6954713
burned,105.57571,307,28.483538
burned,79.09697,1148,23.166763
burned,326.25644,854,11.016216
burned,65.05341,1035,33.12303
burned,327.18637,802,29.186523
burned,256.18338,550,3.8777897
burned,0,793,4.6273675
burned,311.67465,670,23.664532
burned,286.79898,788,6.3916464
burned,264.67252,1207,9.889929
burned,261.23752,302,27.982094
burned,302.92218,648,11.776911
burned,212.15157,930,16.002844
burned,86.650024,1046,28.98843
burned,50.629772,865,12.935116
burned,126.44463,802,3.1195383
burned,69.09683,698,49.71143
burned,326.4822,760,2.2238433
burned,270,1000,8.676841
burned,231.1648,910,17.211569
burned,295.84482,888,22.218424
burned,163.19551,1145,34.074226
burned,145.6425,468,2.2458618
burned,30.880205,906,26.987995
burned,357.33057,1357,24.40617
burned,62.3027,1344,22.681435
burned,126.426445,656,4.6755457
burned,22.78891,674,15.691891
burned,8.79424,1102,22.26952
burned,120.93038,590,33.479572
burned,123.33078,945,17.95578
burned,336.48294,1063,9.028082
burned,253.46356,1070,24.465162
burned,144.13446,901,30.93238
burned,339.63943,1386,25.802074
burned,195.58098,1157,25.98251
burned,22.490536,991,24.490606
burned,219.40962,717,28.578964
burned,226.23451,915,5.3478956
burned,203.84596,871,3.0393114
burned,90,917,1.2853297
burned,114.38754,613,30.458374
burned,53.50962,707,1.5592417
burned,191.42853,969,18.278622
burned,53.50793,904,48.13786
burned,348.4235,1444,18.28759
burned,90,659,8.80027
burned,294.97156,1419,24.708675
burned,238.6918,872,23.563234
burned,214.70415,810,2.2552214
burned,32.14304,615,24.647346
burned,149.57039,1126,20.579979
burned,26.940145,382,47.924057
burned,26.543705,886,23.474468
burned,122.08727,1232,15.336844
burned,286.0903,1196,30.28815
burned,206.87663,468,23.535734
burned,302.09146,747,12.04013
burned,273.61548,1181,37.60019
burned,272.5207,703,20.20718
burned,117.9772,690,31.845236
burned,320.9509,1425,30.269497
burned,180,762,1.8543341
burned,90,1580,19.667776
burned,248.24284,587,16.998327
burned,112.649,431,20.723242
burned,20.01125,661,10.730695
burned,181.1385,820,47.751854
burned,8.088954,1335,37.54123
burned,330.06702,1369,33.175854
burned,192.65698,752,11.259861
burned,249.74217,1174,27.215649
burned,249.33676,563,24.642822
burned,249.74513,748,2.6771367
burned,352.28897,991,26.107838
burned,316.7623,789,36.25127
burned,34.430866,753,11.103786
burned,13.76151,1053,10.388564
burned,155.9932,631,6.069112
burned,144.87726,467,24.47508
burned,39.049923,343,17.362755
burned,0,998,29.534676
burned,37.661102,1496,21.23216
burned,295.49442,876,18.699968
burned,226.50467,760,11.951265
burned,325.95972,656,4.468069
burned,39.8524,516,35.637806
burned,245.96309,384,60.23583
burned,287.72006,1259,17.698442
burned,138.0785,1103,14.631715
burned,32.570404,851,23.835861
burned,291.1528,635,28.294104
burned,18.303774,1144,29.364916
burned,326.95004,940,10.930758
burned,8.945269,1166,28.403357
burned,180,718,0.92740995
burned,313.45605,1028,27.374413
burned,230.62782,852,30.409729
burned,53.510708,230,16.669514
burned,87.97287,1148,24.590454
burned,0,261,0.92740995
burned,31.500702,293,11.796201
burned,34.826263,845,31.438072
burned,319.9284,1323,29.73299
burned,319.85062,737,21.919004
burned,33.397808,1206,37.096363
burned,306.40384,651,12.309596
burned,0,774,0.92740995
burned,130.73318,985,27.517523
burned,49.905552,962,46.55053
burned,279.15866,664,26.953722
burned,346.21317,425,20.137775
burned,25.012033,882,3.0674858
burned,227.17473,379,25.467321
burned,222.10413,766,11.109632
burned,0,805,0
burned,195.163,705,14.121144
burned,43.310703,740,20.716406
burned,207.81186,637,18.233679
burned,210.09557,843,7.4615865
burned,78.1781,1168,17.53962
burned,70.28968,594,16.065517
burned,59.183773,1092,7.2037754
burned,299.02783,1454,23.445866
burned,227.52515,934,6.834984
burned,300.9091,809,7.1844697
burned,22.817802,856,18.452854
burned,305.5442,878,1.5950496
burned,69.70544,867,22.784422
burned,27.377615,451,40.589634
burned,180,616,0.92740995
burned,90,546,1.2528164
burned,270,777,2.5897913
burned,286.49298,742,12.84818
burned,244.80087,812,18.890097
burned,253.03397,1050,15.5026
burned,102.719185,1003,12.438517
burned,116.575165,1085,37.230034
burned,263.95398,412,17.086405
burned,270,838,3.8874407
burned,321.25366,974,33.59124
burned,41.80098,1126,11.058223
burned,60.863483,805,5.6959233
burned,325.84402,1000,17.37968
burned,3.3548732,1358,19.633469
burned,270,762,3.712461
burned,56.73446,843,13.283925
burned,335.8461,1138,6.076028
burned,346.565,1269,24.197584
burned,84.64267,975,27.480488
burned,329.2518,699,25.215322
burned,208.24782,717,5.2496586
burned,350.24564,1291,26.984379
burned,306.39548,1252,28.618433
burned,46.159786,1630,30.296457
burned,187.67064,313,9.2767315
burned,180,749,0.92740995
burned,140.58997,566,25.728935
burned,272.8169,781,33.376358
burned,156.67012,916,21.198326
burned,0,776,0.92740995
burned,67.96582,326,27.37459
burned,85.02812,733,20.483849
