class,aspect,elevation,slope
marginal,41.58556,1392,32.113605
marginal,307.75937,1830,6.0361695
marginal,52.46927,909,1.5221483
marginal,233.87433,1645,6.2676654
marginal,304.9157,1348,29.494204
marginal,349.38223,1111,30.664186
marginal,211.2197,1603,22.608639
marginal,282.21896,858,24.650652
marginal,100.323875,533,5.1613736
marginal,92.260765,1510,22.311384
marginal,248.75105,1342,24.068241
marginal,284.08466,1599,24.96826
marginal,346.11206,1371,10.394084
marginal,173.71857,1353,21.348192
marginal,16.527645,1390,20.379002
marginal,65.51415,745,21.333975
marginal,85.443924,1893,22.174541
marginal,240.72226,1493,32.166473
marginal,76.56621,566,15.5738535
marginal,357.62134,2185,26.668259
marginal,304.04636,553,19.13501
marginal,279.23447,1331,45.249332
marginal,130.35974,1352,37.772522
marginal,207.61621,1679,27.091358
marginal,14.093929,1760,23.458178
marginal,90,250,2.4948025
marginal,0,691,2.7802885
marginal,36.735588,1095,20.996096
marginal,219.63884,789,9.545938
marginal,336.26724,1703,36.601048
marginal,166.16022,743,10.391974
marginal,0,805,0
marginal,281.09668,1257,33.93507
marginal,8.991521,756,15.568681
marginal,70.06667,595,8.106967
marginal,70.96024,1721,26.391352
marginal,180,576,2.7802885
marginal,272.71246,1281,18.884085
marginal,16.948849,2179,36.042656
marginal,82.735115,1680,32.62135
marginal,217.30217,779,24.118528
marginal,25.843624,1138,32.191788
marginal,239.78493,1121,5.51197
marginal,270,1057,22.785625
marginal,25.906319,1286,28.364012
marginal,41.676174,1894,45.5286
marginal,263.04324,719,7.612486
marginal,331.62442,1137,50.097713
marginal,180,952,7.3788605
marginal,0,874,0.92740995
marginal,0,927,0
marginal,150.90865,1355,21.257017
marginal,264.09094,531,8.935996
marginal,190.75954,1950,19.086979
marginal,0,1021,3.7047918
marginal,120.49397,1318,24.065788
marginal,28.244808,1210,24.673693
marginal,239.71796,457,7.3172464
marginal,145.45383,538,4.494946
marginal,0,929,0.92740995
marginal,312.81027,1319,15.952376
marginal,98.59826,854,6.1796603
marginal,64.91981,902,14.966497
marginal,134.76782,1229,31.824984
marginal,263.58005,1784,30.074701
marginal,335.6489,806,3.0512981
marginal,0,638,0
marginal,319.30002,692,9.693529
marginal,151.73177,1152,17.351704
marginal,12.393535,1134,22.506676
marginal,23.456532,1072,20.332987
marginal,220.96344,1443,43.326725
marginal,325.41605,628,2.251958
marginal,165.276,1322,22.706146
marginal,160.3803,1317,31.026634
marginal,0,917,3.7047918
marginal,306.55896,191,1.5567249
marginal,155.44476,2060,34.070454
marginal,317.206,986,3.7863424
marginal,207.79767,1377,10.370123
marginal,244.33475,1497,20.493446
marginal,0,927,0
marginal,270,1048,1.2890892
marginal,37.226192,810,10.368677
marginal,79.76618,768,5.206057
marginal,318.53876,1815,33.807323
marginal,341.23288,1309,3.9121916
marginal,198.4043,882,22.26659
marginal,19.06586,487,3.9191668
marginal,84.28842,1375,26.011055
marginal,217.46706,1275,23.185455
marginal,231.87181,1088,39.103065
marginal,263.20166,1851,34.362347
marginal,113.793915,1687,9.117884
marginal,192.93806,801,11.272095
marginal,211.80475,973,32.92814
marginal,132.41055,1530,23.365957
marginal,237.1625,1378,38.869434
marginal,37.37726,865,50.23847
marginal,343.4042,832,8.644072
marginal,0,1354,2.7802885
marginal,73.248955,1908,24.195662
marginal,164.48245,1349,25.192505
marginal,254.44553,1580,42.161156
marginal,196.31017,1363,34.006054
marginal,342.2297,1630,26.241722
marginal,173.85463,1267,31.74469
marginal,0,664,0
marginal,180,1050,5.547545
marginal,110.02027,1464,23.052431
marginal,306.59128,973,1.555543
marginal,94.73206,637,11.101773
marginal,345.5431,1147,9.490439
marginal,336.679,449,15.7509575
marginal,99.357025,1367,21.715298
marginal,270,888,5.1256433
marginal,50.25975,1596,37.221138
marginal,0,787,0
marginal,180,917,5.547545
marginal,270,1959,1.216068
marginal,300.51364,1729,24.05335
marginal,79.198715,1641,14.52794
marginal,72.107315,1053,11.901156
marginal,327.5888,1661,21.933153
marginal,316.90097,1443,17.243116
marginal,347.29306,1259,30.147886
marginal,66.11762,660,23.740828
marginal,225.1714,901,20.172733
marginal,129.698,1505,16.915514
marginal,73.64426,1321,24.696724
marginal,32.250023,1256,45.946434
marginal,0,927,0
marginal,3.941152,1042,17.134357
marginal,190.92653,843,38.932877
marginal,270,799,2.554177
marginal,283.61847,1365,7.8291836
marginal,125.96688,1662,7.8465686
marginal,0,621,11.883978
marginal,295.91095,942,14.537519
marginal,270,844,2.484665
marginal,142.80908,2152,23.10934
marginal,113.40475,746,22.172
marginal,90,1565,5.947325
marginal,257.42886,644,12.578048
marginal,52.834885,1017,13.558721
marginal,160.4627,1116,24.06531
marginal,0,1049,0
marginal,180,595,0.92740995
marginal,236.21812,789,16.231852
marginal,172.83722,1597,33.779312
marginal,70.02954,1533,37.174942
marginal,207.98465,924,5.236862
marginal,36.06904,1653,30.146957
marginal,18.97421,1018,3.917013
marginal,343.09326,845,16.937714
marginal,96.300285,1096,16.437235
marginal,58.917133,1702,52.1214
marginal,272.6167,584,19.523157
marginal,243.21895,852,12.164433
marginal,62.39212,920,30.703169
marginal,88.85506,1603,39.011875
marginal,0,769,0
marginal,323.05875,1798,27.771059
marginal,147.01328,947,2.2103825
marginal,0,1614,15.386483
marginal,11.658052,1612,27.875248
marginal,183.68538,1364,17.974426
marginal,131.29465,889,8.372503
marginal,56.48603,1115,9.97679
marginal,150.59769,1831,12.569825
marginal,38.011795,1188,11.610352
marginal,328.15775,984,40.61309
marginal,184.42091,1086,28.899868
marginal,347.3785,811,5.6840324
marginal,68.31883,1678,27.735512
marginal,187.3748,1262,9.270518
marginal,116.49967,1165,31.664469
marginal,213.89163,598,4.4602995
marginal,142.05011,483,32.472073
marginal,230.09537,1831,19.456942
marginal,259.58936,1093,24.12824
marginal,317.4883,1489,33.37719
marginal,203.10452,927,30.895456
marginal,139.12024,1380,35.242348
marginal,274.1336,1038,24.187107
marginal,332.45087,1332,20.060125
marginal,186.11876,1064,22.146961
marginal,240.56346,1807,19.916462
marginal,20.301046,1885,26.58968
marginal,108.62113,904,11.463286
marginal,36.339767,1201,8.007417
marginal,260.74637,1318,11.383402
marginal,264.49115,1435,18.636482
marginal,203.49205,1030,6.0453453
marginal,180,474,0.92740995
marginal,0,1046,0.92740995
marginal,202.82454,824,26.99098
marginal,348.86865,1574,13.005758
marginal,202.80835,1281,23.702576
marginal,242.47897,951,30.77627
marginal,186.9107,1259,36.270504
marginal,235.30878,984,17.372822
marginal,0,769,0
marginal,270,1428,1.2055749
marginal,270,703,3.8175337
marginal,224.95982,1731,46.460842
marginal,225.29391,922,5.258985
marginal,27.488628,1059,8.30556
marginal,141.67564,1435,16.112864
marginal,270,804,1.2258999
marginal,120.12731,1518,5.526421
marginal,289.99124,941,5.409746
marginal,289.67075,1725,25.68288
marginal,113.87638,1220,9.088722
marginal,0,769,0
marginal,245.1919,1365,30.058512
marginal,167.86902,1649,27.91644
marginal,45.25761,796,24.699207
marginal,88.3584,1313,29.469421
marginal,250.19922,972,2.7358928
marginal,100.94534,1030,4.8730245
marginal,307.59534,1278,7.557249
marginal,317.17178,1073,12.446964
marginal,100.22902,1620,28.675825
marginal,152.15913,1497,10.37416
marginal,270,802,3.8089738
marginal,270,548,2.5588205
marginal,277.94952,1074,13.17543
marginal,53.789722,1731,16.773989
marginal,214.1425,622,4.4734464
marginal,177.26836,1620,23.6326
marginal,316.3006,1511,20.838766
marginal,85.81334,931,23.915579
marginal,175.13719,1910,45.20744
marginal,0,900,0
marginal,283.1752,1642,35.382736
marginal,30.633478,1753,26.928665
marginal,36.397594,1639,27.604511
marginal,141.93396,344,8.190207
marginal,197.87622,1541,15.2239485
marginal,113.064766,1531,11.672916
marginal,245.7297,1460,28.870249
marginal,111.49052,1414,36.91308
marginal,33.337284,928,13.0894575
marginal,61.153706,2070,21.93117
marginal,134.04936,1406,15.6098
marginal,300.2113,837,14.432556
marginal,190.03683,1746,20.71187
marginal,272.79562,621,18.360897
marginal,0,838,22.825352
marginal,180,777,0.92740995
marginal,223.37161,1066,16.145668
marginal,299.68384,660,18.101768
marginal,249.26985,1243,24.575775
marginal,90,814,1.2296069
marginal,0,769,0
marginal,0,769,0
marginal,160.83627,1018,3.9214802
marginal,201.42966,721,9.86508
marginal,260.29337,1610,29.944765
marginal,327.19577,1173,30.838533
marginal,197.99165,960,19.667933
marginal,0,537,0.92740995
marginal,209.90175,1042,9.540096
marginal,186.66862,1383,29.701788
marginal,213.96552,316,23.238554
