year,fire_id,date,date_l,date_u,obs,datesrc,fire_id,date_l2,date_u2,obs2,diff_l,diff_u,use_thomas,
2002,2002_1882950134,2002-02-25,2002-02-25,2002-02-25,NA,modis_hotspot,2002_1882950134,2002-02-24,2002-03-08,https://www.argentina.gob.ar/sites/default/files/ambiente-itn3_pnmf.pdf,1,-11,1,"usar los de thomas para fecha de inicio, no para el final"
2002,2002_33,2001-12-26,2001-12-26,2001-12-26,NA,modis,2002_33,2001-12-25,2001-12-27,http://www1.rionegro.com.ar/arch200112/s27g01.html https://www.rionegro.com.ar/epuyen-esta-asediada-por-nuevos-focos-de-incendios-forestales-GAHRN0112282028701/,1,-1,1,y definir como “date” al inicio.
2002,2002_36,2001-12-20,2001-12-18,2001-12-22,NA,modis_hotspot,2002_36,2001-12-18,2001-12-22,https://www.rionegro.com.ar/incendio-en-el-turbio-esta-fuera-de-control-GAHRN0112202020701/,0,0,1,
2002,2002_7,2002-02-24,2002-02-24,2002-02-24,NA,modis,2002_7,2002-02-16,2002-02-25,https://www.argentina.gob.ar/sites/default/files/ambiente-itn3_pnmf.pdf,8,-1,1,
2005,2005_14,2005-04-30,2005-04-30,2005-04-30,NA,modis_hotspot,2005_14,2005-04-30,2005-04-30,https://www.rionegro.com.ar/la-zona-de-el-bolson-se-convirtio-en-un-infierno-que-solo-pudo-aplacar-la-lluvia-AFHRN05050223021002/,0,0,1,
2005,2005_25,2005-04-25,2005-04-25,2005-04-25,NA,modis_hotspot,2005_25,2005-04-30,2005-04-30,https://www.rionegro.com.ar/la-zona-de-el-bolson-se-convirtio-en-un-infierno-que-solo-pudo-aplacar-la-lluvia-AFHRN05050223021002/,-5,-5,1,
2005,2005_8,2005-01-19,2005-01-19,2005-01-19,NA,modis,2005_8,2005-01-19,2005-01-19,https://www.infobae.com/2005/01/19/162863-bariloche-afirman-que-los-incendios-fueron-controlados/,0,0,1,
2005,2005_9,2005-01-19,2005-01-19,2005-01-19,NA,modis,2005_9,2005-01-19,2005-01-19,https://www.infobae.com/2005/01/19/162863-bariloche-afirman-que-los-incendios-fueron-controlados/,0,0,1,
2008,2008_40,2008-01-26,2008-01-26,2008-01-26,NA,modis,2008_40,2008-03-07,2008-03-07,http://www1.rionegro.com.ar/diario/2008/03/09/imprimir.20083v09j05.php,-41,0,1,
2008,2008_5,2008-03-17,2008-02-27,2008-04-05,NA,modis,2008_5,2008-02-26,2008-03-18,informe apn,1,18,1,
2009,2009_2007583421,2009-03-21,2009-03-15,2009-03-27,NA,modis_hotspot,2009_2007583421,2009-03-15,2009-03-25,https://www.ultimahora.com/tras-diez-dias-argentina-controla-incendio-forestal-la-patagonia-n207398,0,2,1,
2009,2009_26,2009-01-19,2009-01-17,2009-01-20,NA,modis,2009_26,2009-01-16,2009-01-24,https://www.anbariloche.com.ar/noticias/2009/01/23/7080-ya-son-1900-las-hectareas-afectadas-por-el-incendio-en-el-bolson,1,-4,1,
2009,2009_28,2009-01-16,2009-01-16,2009-01-16,NA,modis,2009_28,2009-01-16,2009-01-24,https://www.anbariloche.com.ar/noticias/2009/01/23/7080-ya-son-1900-las-hectareas-afectadas-por-el-incendio-en-el-bolson,0,-8,1,
