year,fire_id,area_ha,date,date_l,date_u,datesrc,name,obs,collec
1999,1999_1319185782,37.2351803148461,1998-06-28,1998-03-20,1998-10-05,landsat,1999_1319185782,uncertain_year,2
1999,1999_1689435445,12.4517259035233,1998-07-01,1998-04-28,1998-09-03,landsat,1999_1689435445,uncertain_year,2
1999,1999_1780556035,20.2861095892906,1998-07-01,1998-04-28,1998-09-03,landsat,1999_1780556035,uncertain_year,2
1999,1999_131,19.0721406343956,1998-11-18,1998-10-21,1998-12-17,landsat,1999_131,NA,1
1999,1999_113,19.6060846983401,1998-11-26,1998-11-06,1998-12-17,landsat,1999_113,NA,1
1999,1999_1973265140,41.0280556882752,1998-12-04,1998-11-22,1998-12-17,landsat,1999_1973265140,NA,3
1999,CoVentana,145.050264344181,1999-01-01,1998-12-24,1999-01-09,landsat,Co. Ventana,NA,1
1999,1999_2117175303,6815.29827822183,1999-01-01,1998-12-24,1999-01-09,landsat,1999_2117175303,NA,3
1999,1999_55,208.069184861303,1999-01-17,1999-01-09,1999-01-25,landsat,1999_55,NA,1
1999,CoCarbon,99.3650487459144,1999-01-17,1999-01-09,1999-01-25,landsat,Co. Carbón,NA,1
1999,PalomaBlanca,513.466248460702,1999-01-17,1999-01-09,1999-01-25,landsat,Paloma Blanca,NA,1
1999,1999_1054114504,84.7204950026776,1999-01-17,1999-01-09,1999-01-25,landsat,1999_1054114504,NA,2
1999,1999_134,317.776234507223,1999-02-02,1999-01-25,1999-02-10,landsat,1999_134,NA,1
1999,1999_167,45.5882010833913,1999-02-02,1999-01-25,1999-02-10,landsat,1999_167,NA,1
1999,1999_2140469994_r,24164.53812044,1999-02-02,1999-01-25,1999-02-10,landsat,San Ramón,NA,2
1999,1999_1998199357,3601.87897820447,1999-02-22,1999-02-10,1999-03-07,landsat,1999_1998199357,NA,2
1999,1999_25j,690.55839961706,1999-03-14,1999-02-10,1999-04-15,landsat,Balcon del Gutiérrez,NA,1
